# time # temperature
0	-0.445132688
2488.134862	-0.445132688
6011.61859	-0.299522569
6826.35807	-0.116232639
8011.433679	-0.624079861
8678.038708	0.303993056
15344.089	0.491753472
15760.71715	0.127967665
16296.3819	1.122858383
17010.60158	0.634809028
17195.76964	0.834490741
22843.39559	0.384461806
30898.20636	-1.117621528
32485.36119	-0.606070188
32961.50764	0.231187996
33675.72732	-0.187760417
35818.38634	-0.895374504
37008.75247	-0.742100694
42484.43664	-1.097695933
47007.82791	-1.332204861
52007.36563	-1.716666667
53673.87821	-2.054188368
62006.44107	-2.442673611
67005.9788	-2.001660156
67561.48299	-2.246419271
69505.74766	-1.764724392
82837.84825	-2.572764757
86246.62397	-1.980831755
87004.12968	-1.943823242
88670.64226	-2.780642361
90337.15483	-3.084411892
102002.7429	-2.539236111
103113.7512	-2.761270255
107002.2806	-1.877604167
107928.1209	-1.80995081
108192.6467	-2.334232391
110335.3057	-2.077881944
112001.8183	-0.983506944
113668.3309	-0.333051215
114668.2384	-0.669678819
115334.8434	0.1609375
120000	0
